word,meaning,regular_word
大江,长江。,'大江'东去，浪淘尽，千古风流人物。
淘,淘洗。,大江东去，浪'淘'尽，
故垒,旧时的军事营堡。,'故垒'西边，人道是、三国周郎赤壁。
惊涛,巨大的浪涛。,乱石穿空，'惊涛'拍岸，卷起千堆雪。
雄姿英发,指容貌,遥想公瑾当年，小乔初嫁了，'雄姿英发'。
雄姿英发,指精神气质。,遥想公瑾当年，小乔初嫁了，'雄姿英发'。
羽扇,长羽毛似的扇子。,'羽扇'纶巾，谈笑间、樯橹灰飞烟灭。
纶巾,古代配有青丝带的头巾。,羽扇'纶巾'，谈笑间、樯橹灰飞烟灭。
樯橹,船的桅杆和桨。这里代指曹军的战船。一作“强虏”。,谈笑间、'樯橹'灰飞烟灭。
故国,这里指古战场旧地。,'故国'神游，多情应笑我，早生华发。
神游,形体不动而心神向往，如亲游其境。,故国'神游'，多情应笑我，早生华发。
华发,花白的头发。,多情应笑我，早生'华发'。
酹（lèi）,把酒洒在地上进行祭奠。,人生如梦，一尊还'酹'江月。
