word,meaning
崩殂,死
崩,古时指皇帝死亡
殂,死亡
疲弊,人力与物力缺乏
秋,重要时候
开张,扩大
圣,圣明的国君
光,发扬光大
恢弘,发扬
恢,大
弘,宽
引逾,譬喻
义,适宜
陟,提升
臧,善
否,恶
虑,思想
忠纯,忠心耿耿
简拔,挑选提拔
简,选择
愚,自称的谦词
咨,征询
诹,询问
雅言,正确意见
裨,助益
阙,欠缺
行阵,军队
猥,委屈
感激,感动奋发
驱驰,奔走效力
倾覆,失败
尔来,从那时以来
大事,"复兴汉室,统一中原的大事"
驽钝,才能平庸
效,任务
效,实现
彰,表明
咎,过失
