word,meaning
左迁,古代以右为尊以左为卑
善才,弹琵琶的艺人或乐师
瑟瑟,秋意萧瑟
管弦,音乐
回灯,重新点上灯
转轴,拧动琵琶轴以调音
掩抑,弦声低沉抑郁
思,思绪
大弦,最粗的低音弦
嘈嘈,声音沉重舒长
小弦,最细的高音弦
切切,声音细促轻幽
间关,宛转的鸟鸣声
滑,流利轻快
幽咽,遏塞不畅的样子
凝绝,凝结不动
乍,忽然
迸,溅射
敛容,神色变得严肃有礼貌
秋娘,唐时歌伎常用名
五陵,贵族豪门居住地
缠头,锦帛之类的财物
绡,丝织品
钿,金片花朵形装饰品
篦,梳头用具
击节,打拍子
去来,走了以后
阑干,泪痕纵横散乱的样子
暂,突然
翻,按曲调写成歌词
却坐,退回原处坐下
促弦,把弦拧得更紧
向前,刚才
